Time,w1,w2,PE
0.02,0.008535432,0.006243587,102.5315
0.04,0.01706421,0.01251102,102.474
0.06,0.02561295,0.01879334,102.3587
0.08,0.03418167,0.02508761,102.1849
0.09999999,0.04279034,0.03142954,101.9517
0.12,0.05147225,0.03784898,101.6577
0.14,0.06018079,0.04430416,101.3011
0.16,0.06900916,0.05083395,100.8799
0.18,0.07787749,0.05746504,100.3917
0.2,0.08683903,0.06418557,99.83353
0.22,0.09592041,0.07101046,99.20245
0.24,0.1051283,0.07795783,98.4947
0.26,0.114456,0.08500946,97.70636
0.28,0.1239036,0.09221612,96.83304
0.3,0.1335242,0.09957217,95.87013
0.32,0.1433114,0.1071043,94.8123
0.34,0.1532316,0.1147916,93.65389
0.36,0.163345,0.1226584,92.38909
0.38,0.1736315,0.1307161,91.01139
0.4,0.1841376,0.1389803,89.51397
0.42,0.1948102,0.1474449,87.88963
0.44,0.2057492,0.1561248,86.13084
0.46,0.2168679,0.1650476,84.22947
0.48,0.2282462,0.1741976,82.17738
0.5,0.2398376,0.183585,79.96577
0.52,0.2516621,0.1931947,77.58603
0.54,0.2637195,0.2030744,75.02929
0.56,0.2760366,0.2131863,72.2864
0.58,0.2885935,0.2235778,69.34828
0.6,0.3013966,0.2342475,66.20609
0.62,0.3144394,0.2451475,62.85061
0.64,0.3277353,0.2563276,59.27403
0.66,0.3412508,0.2677409,55.46816
0.68,0.355026,0.2794072,51.42619
0.7,0.3689876,0.2913294,47.14192
0.72,0.3831623,0.3034922,42.61045
0.74,0.3975234,0.3158688,37.82843
0.76,0.412051,0.3284668,32.79436
0.78,0.4267383,0.3412296,27.50868
0.8,0.4415588,0.3541709,21.97419
0.82,0.4564725,0.3672562,16.19661
0.84,0.4714794,0.3804497,10.18456
0.86,0.486513,0.3937218,3.950261
0.88,0.5015598,0.4070575,-2.490588
0.9,0.5165334,0.4203942,-9.118124
0.92,0.5314605,0.4337066,-15.90806
0.94,0.546261,0.4469575,-22.83213
0.96,0.5609084,0.4600919,-29.8574
